"Payment Action","Acci&oacute;n de pago"
"Update Shipping Method","Actualizar el m&eacute;todo de env&iacute;o"
"Items in Your Shopping Cart","Articulos en su carrito de compras"
"Change Payment Method","Cambiar el m&eacute;todo de pago"
"Change Shipping Address","Cambiar la direcci&oacute;n de env&iacute;o"
"Qty","Cant."
"API Password","Contrase&ntilde;a API"
"Email","Correo electr&oacute;nico"
"Business Account","Cuenta de empresa"
"PayPal Account","Cuenta de PayPal"
"Shipping Address","Direccion de env&iacute;o"
"Edit Shopping Cart","Editar el carrito de compras"
"Submitting order information...","Enviando informaci&oacute;n del pedido…"
"API Signature","Firma API"
"Enabled","Habilitado"
"Proxy Host","Host Proxy"
"Debug Flag","Indicador de depuración"
"Sandbox Flag","Indicador de entorno protegido"
"Billing Information","Informaci&oacute;n de pago"
"Shipping Information","Informacion de env&iacute;o"
"Shipping Method","M&eacute;todo de env&iacute;o"
"Payment Method","M&eacute;todo de pago"
"Business Name","Nombre de la empresa"
"API User Name","Nombre de usuario API"
"Product Name","Nombre del producto"
"New order status","Nuevo estado del Pedido"
"Sort order","Orden de clasificaci&oacute;n"
"Payment from Specific countries","Pago desde pa&iacute;ses espec&iacute;ficos"
"Payment from applicable countries","Pagos desde los pa&iacute;ses aplicables"
"Sorry, no quotes are available for this order at this time.","Perd&oacute;n, no hay cotizaciones disponibles para este Pedido en este momento."
"Please select a shipping method...","Por favor, seleccione un m&eacute;todo de env&iacute;o..."
"Price","Precio"
"Proxy Port","Puerto Proxy"
"Place an Order","Realizar un Pedido"
"Review Order","Revisar el Pedido"
"You will be redirected to PayPal website when you place an order.","Ser&aacute; redirigido a la p&aacute;gina de PayPal cuando realice el pedido."
"You will be redirected to paypal in a few seconds.","Ser&aacute; redirigido a PayPal en unos segundos."
"Your billing address will be ignored and you will be redirected to PayPal website","Su direcci&oacute;n de pago ser&aacute; ignorada y ser&aacute; redirigido al sitio web de PayPal."
"Subtotal","Subtotal"
"Title","T&iacute;tulo"
"Type","Tipo"
"Transaction Type","Tipo de transacci&oacute;n"
"Credit Card Types","Tipos de tarjetas de cr&eacute;dito"
"Paypal Logo Image URL(150x150)","URL de la imagen del logo de Paypal(150x150)"
"Use Proxy","Usar proxy"
"Website Payments Pro (Express, Direct)","Website Payments Pro (con Express, Direct)"
"Website Payments Standard","Website Payments Standard ()"
