"To Date","A fecha"
"Actions","Acciones"
"Active","Activo"
"Update the Product","Actualizar el producto"
"Update prices using the following information","Actualizar precios usando la siguiente informaci&oacute;n"
"Update product's %s %s: %s","Actualizar producto's %s %s: %s"
"Add New Rule","Agregar nueva regla"
"Apply","Aplicar"
"Apply to","Aplicar a"
"Apply the rule to cart items matching the following conditions","Aplicar la regla a los art&iacute;culos del carrito que cumplan las siguientes condiciones"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar la regla s&oacute;lo a los art&iacute;culos del carrito que cumplan las siguientes condiciones (dejar en blanco para todos los art&iacute;culos)"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar la regla s&oacute;lo si se dan las siguientes condiciones (dejar en blanco para todos los productos)"
"Cart Attribute","Atributo del carrito"
"Delete Rule","Borrar la regla"
"Coupon code","C&oacute;digo del cup&oacute;n"
"Coupon Code","C&oacute;digo del cup&oacute;n"
"Shipping Postcode","C&oacute;digo postal de env&iacute;o"
"Expire at: %s","Caduca el: %s"
"Total Items Quantity","Cantidad de art&iacute;culos totales"
"Quantity in cart","Cantidad en el carrito"
"Catalog","Cat&aacute;logo"
"Customer registered: %s","Cliente registrado: %s"
"Product attribute combination","Combinaci&oacute;n de atributos del producto"
"Conditions combination","Combinaci&oacute;n de condiciones"
"Conditions Combination","Combinaci&oacute;n de condiciones"
"Buy X get Y free (discount amount is Y)","Compre X y consiga Y gratis (el importe del descuento es Y)"
"Conditions","Condiciones"
"Description","Descripci&oacute;n"
"Description: %s","Descripci&oacute;n: %s"
"From Date","Desde fecha"
"Stop further rules processing","Detener el procesamiento de las reglas"
"Edit Rule","Editar la regla"
"Edit Rule '%s'","Editar la regla '%s'"
"Customer is new buyer: %s","El cliente es un nuevo comprador: %s"
"Start at: %s","Empieza en: %s"
"Free shipping","Env&iacute;o gratuito"
"This rule no longer exists","Esta regla ya no existe"
"Status","Estado"
"Shipping State/Province","Estado/Provincia de env&iacute;o"
"Date Expire","Fecha de caducidad"
"Date Start","Fecha de inicio"
"Customer Groups","Grupos de cliente"
"Save Rule","Guardar la regla"
"ID","ID"
"Discount amount","Importe del descuento"
"Fixed amount discount","Importe fijo del descuento"
"Fixed amount discount for whole cart","Importe fijo del descuento para todo el carrito"
"Unable to find a page to delete","Imposible encontrar una p&aacute;gina para borrar"
"Inactive","Inactivo"
"Rule Information","Informaci&oacute;n de la regla"
"General Information","Informaci&oacute;n general"
"Maximum Qty Discount is Applied to","La cantidad m&aacute;xima del descuento se aplica a"
"The page you are trying to save no longer exists","La p&aacute;gina que usted desea guardar ya no existe"
"Rule was successfully deleted","La regla ha sido borrada satisfactoriamente"
"Rule was successfully saved","La regla ha sido guardada satisfactoriamente"
"Shipping Method","M&eacute;todo de env&iacute;o"
"Payment Method","M&eacute;todo de pago"
"No","No"
"Rule Name","Nombre de la regla"
"Name: %s","Nombre: %s"
"New Rule","Nueva regla"
"Public In RSS Feed","P&uacute;blico en Feed RSS"
"Shipping Country","Pa&iacute;s de env&iacute;o"
"For shipment with matching items","Para env&iacute;os con art&iacute;culos que coinciden"
"To Fixed Amount","Para importe fijo"
"To Percentage","Para porcentaje"
"To Percentage of the original price","Para porcentaje del precio original"
"To Fixed Value","Para valor fijo"
"Discount Qty Step (Buy X)","Paso de cantidad de descuento (compra X)"
"Total Weight","Peso total"
"By Fixed Amount","Por importe fijo"
"By Percentage","Por porcentaje"
"By Percentage of the original price","Por porcentaje del precio original"
"By Fixed value","Por valor fijo"
"Percent of product price discount","Porcentaje de descuento del precio del producto"
"Price in cart","Precio en el carrito"
"Special price","Precio especial"
"Priority","Prioridad"
"Promotions","Promociones"
"Shipping Region","Regi&oacute;n de env&iacute;o"
"Checkout Price Rule","Regla de precio de la Caja"
"Shopping Cart Price Rules","Reglas de precios del carrito de compras"
"Yes","S&iacute;"
"For matching items only","S&oacute;lo para los art&iacute;culos que coinciden"
"NOT LOGGED IN","SESI&oacute;N NO INICIADA"
"Subtotal","Subtotal"
"Row total in cart","Total de filas en el carrito"
"Uses per customer","Usos por cliente"
"Uses per coupon","Usos por cup&oacute;n"
