"-- Please select --","-- Por favor seleccione --"
"WARNING:","ADVERTENCIA:"
"Currency Update Warnings","Advertencias de la actualizaci&oacute;n de moneda"
"Currency Setup","Configuraci&oacute;n de la moneda"
"Continue &raquo;","Continuar &raquo;"
"Invalid country code: %s","El c&oacute;digo del pa&iacute;s es inv&aacute;lido: %s"
"Invalid Import Service Specified","El servicio de importaci&oacute;n especificado es inv&aacute;lido"
"Error Email Recipient","Error en el destinatario del correo electr&oacute;nico"
"Error Email Sender","Error en el remitente del correo electr&oacute;nico"
"Error Email Template","Error en la plantilla del correo electr&oacute;nico"
"FATAL ERROR:","ERROR GRAVE:"
"State/Province","Estado/Provincia"
"Frequency","Frecuencia"
"Enabled","Habilitado"
"Start Time","Hora de inicio"
"Country and Format Type combination should be unique","La combinacion del pa&iacute;s y el tipo de formato debe ser &uacute;nica"
"Invalid target currency","La moneda de destino es inv&aacute;lida"
"Currency","Moneda"
"Base currency (Currency will be used for all online payment transactions)","Moneda base (ser&aacute; utilizada para todas las transacciones de pago en l&iacute;nea)"
"Default display currency","Moneda mostrada por defecto"
"Installed Currencies","Monedas instaladas"
"Allowed currencies","Monedas permitidas"
"Unable to initialize import model","No es posible inicializar el modelo de importaci&oacute;n"
"Cannot retrieve rate from %s","No se puede recuperar la tasa desde %s"
"Currency Options","Opciones de monedas"
"Scheduled Import Settings","Se han programado las configuraciones de importaci&oacute;n"
"Invalid rates received","Se recibieron tasas inv&aacute;lidas"
"Select Your Currency","Seleccione su moneda"
"Service","Servicio"
"Your current currency is: %s","Su moneda actual es: %s"
"Undefined rate from ""%s-%s""","Tasa indefinida desde ""%s-%s"""
